file	token	line_no	occurrence_count
1_veda/2_bra/gopbra_u.txt	v	7387	1
1_veda/2_bra/gopbra_u.txt	v	7423	1
1_veda/2_bra/gopbra_u.txt	v	7455	1
1_veda/2_bra/gopbra_u.txt	v	7809	1
1_veda/2_bra/gopbra_u.txt	v	7817	1
1_veda/2_bra/gopbra_u.txt	v	7837	1
1_veda/2_bra/gopbra_u.txt	v	9391	1
1_veda/2_bra/gopbra_u.txt	v	9397	1
1_veda/2_bra/gopbra_u.txt	v	9403	1
1_veda/2_bra/gopbra_u.txt	v	9443	1
1_veda/2_bra/gopbra_u.txt	v	9703	1
1_veda/2_bra/gopbra_u.txt	v	9779	1
1_veda/2_bra/gopbra_u.txt	v	9797	1
1_veda/2_bra/gopbra_u.txt	v	9815	1
1_veda/2_bra/gopbra_u.txt	v	10193	1
1_veda/2_bra/gopbra_u.txt	v	10473	1
1_veda/2_bra/kausibru.txt	c	4357	1
1_veda/2_bra/kausibru.txt	v	477	1
1_veda/2_bra/kausibru.txt	v	505	1
1_veda/2_bra/kausibru.txt	v	691	1
1_veda/2_bra/kausibru.txt	v	827	1
1_veda/2_bra/kausibru.txt	v	919	1
1_veda/2_bra/kausibru.txt	v	3149	1
1_veda/2_bra/kausibru.txt	v	3355	1
1_veda/2_bra/kausibru.txt	v	3777	1
1_veda/2_bra/kausibru.txt	v	3999	1
1_veda/2_bra/kausibru.txt	v	5203	1
1_veda/2_bra/kausibru.txt	v	5909	1
1_veda/2_bra/kausibru.txt	v	6153	1
1_veda/2_bra/kausibru.txt	v	7389	1
1_veda/2_bra/kausibru.txt	v	9143	1
1_veda/2_bra/kausibru.txt	v	9147	1
1_veda/2_bra/kausibru.txt	v	9151	1
1_veda/2_bra/kausibru.txt	v	9967	1
1_veda/2_bra/kausibru.txt	v	9977	1
1_veda/2_bra/kausibru.txt	v	9991	1
1_veda/2_bra/kausibru.txt	v	13035	1
1_veda/2_bra/pncvbr1u.txt	v	785	1
1_veda/2_bra/pncvbr1u.txt	v	815	1
1_veda/2_bra/pncvbr1u.txt	v	1083	1
1_veda/2_bra/pncvbr1u.txt	v	4383	1
1_veda/2_bra/pncvbr2u.txt	v	785	1
1_veda/2_bra/pncvbr2u.txt	v	815	1
1_veda/2_bra/pncvbr2u.txt	v	1083	1
1_veda/2_bra/pncvbr2u.txt	v	4383	1
1_veda/2_bra/satapath/sb_01_u.txt	r	657	1
1_veda/2_bra/satapath/sb_07_u.txt	t	2371	1
1_veda/2_bra/satapath/sb_07_u.txt	v	1885	1
1_veda/2_bra/satapath/sb_08_u.txt	s	2263	1
1_veda/2_bra/satapath/sb_08_u.txt	v	1275	1
1_veda/2_bra/satapath/sb_13_u.txt	s	1821	1
1_veda/2_bra/satapath/sb_13_u.txt	s	2113	1
1_veda/2_bra/satapath/sb_13_u.txt	t	1771	1
1_veda/2_bra/satapath/sb_13_u.txt	t	2427	1
1_veda/2_bra/satapath/sb_13_u.txt	y	2675	1
1_veda/2_bra/satapath/sb_14_u.txt	t	547	1
1_veda/2_bra/satapath/sb_14_u.txt	t	633	1
1_veda/2_bra/satapath/sb_14_u.txt	t	745	1
1_veda/2_bra/satapath/sb_14_u.txt	t	1047	1
1_veda/4_upa/brup___u.txt	v	369	2
1_veda/4_upa/brup___u.txt	v	4427	1
1_veda/4_upa/chup___u.txt	m	1439	1
1_veda/4_upa/chup___u.txt	m	1461	1
1_veda/4_upa/chup___u.txt	v	2107	1
1_veda/4_upa/chup___u.txt	v	3511	1
1_veda/4_upa/isup___u.txt	v	17	1
1_veda/5_vedang/1_srauta/asvss_u.txt	d	1625	1
1_veda/5_vedang/1_srauta/asvss_u.txt	t	375	1
1_veda/5_vedang/1_srauta/asvss_u.txt	v	3011	1
1_veda/5_vedang/1_srauta/asvss_u.txt	v	3787	1
1_veda/5_vedang/1_srauta/sankhssu.txt	s	8635	1
1_veda/5_vedang/1_srauta/sankhssu.txt	v	6087	1
1_veda/5_vedang/1_srauta/sankhssu.txt	v	6097	1
1_veda/5_vedang/1_srauta/sankhssu.txt	v	10369	1
1_veda/5_vedang/1_srauta/sankhssu.txt	v	10441	1
1_veda/5_vedang/1_srauta/vaitss_u.txt	m	1107	1
1_veda/5_vedang/1_srauta/vaitss_u.txt	m	1413	1
1_veda/5_vedang/1_srauta/vaitss_u.txt	m	1429	1
1_veda/5_vedang/1_srauta/vaitss_u.txt	m	1433	1
1_veda/5_vedang/1_srauta/vaitss_u.txt	m	1435	1
1_veda/5_vedang/1_srauta/vaitss_u.txt	m	1673	1
1_veda/5_vedang/1_srauta/vaitss_u.txt	m	1773	1
1_veda/5_vedang/1_srauta/vaitss_u.txt	m	1779	1
1_veda/5_vedang/1_srauta/vaitss_u.txt	m	1813	1
1_veda/5_vedang/2_grhya/kaussu_u.txt	m	171	1
1_veda/5_vedang/2_grhya/kaussu_u.txt	m	205	1
1_veda/5_vedang/2_grhya/kaussu_u.txt	m	4071	1
1_veda/5_vedang/2_grhya/kaussu_u.txt	m	4987	2
1_veda/5_vedang/2_grhya/kaussu_u.txt	m	5077	1
1_veda/5_vedang/2_grhya/kaussu_u.txt	m	5339	1
1_veda/5_vedang/2_grhya/sankhgsu.txt	r	1447	1
1_veda/5_vedang/2_grhya/vargs_u.txt	n	625	1
1_veda/5_vedang/2_paris/avpari_u.txt	c	7499	1
1_veda/5_vedang/2_paris/avpari_u.txt	m	183	1
1_veda/5_vedang/2_paris/avpari_u.txt	r	163	1
1_veda/5_vedang/2_paris/avpari_u.txt	t	2859	2
1_veda/5_vedang/2_paris/avpari_u.txt	y	419	1
1_veda/5_vedang/2_paris/avpari_u.txt	ś	163	1
1_veda/5_vedang/2_paris/avpari_u.txt	ś	453	1
1_veda/5_vedang/2_paris/avpray_u.txt	k	955	1
1_veda/5_vedang/2_paris/avpray_u.txt	k	961	1
1_veda/5_vedang/2_paris/avpray_u.txt	k	1619	1
1_veda/5_vedang/2_paris/avpray_u.txt	r	1151	1
1_veda/5_vedang/2_paris/avpray_u.txt	ś	1477	1
1_veda/5_vedang/3_pratis/rgvidh_u.txt	h	115	1
1_veda/5_vedang/3_pratis/rgvidh_u.txt	m	503	1
2_epic/mbh/ext/hv_apppu.txt	s	41445	1
2_epic/mbh/mbh_02_u.txt	m	16629	1
2_epic/mbh/mbh_07_u.txt	m	43513	1
2_epic/mbh/mbh_07_u.txt	m	43665	1
2_epic/mbh/mbh_08_u.txt	m	21975	1
2_epic/mbh/mbh_09_u.txt	m	6563	1
2_epic/mbh/mbh_12_u.txt	m	35833	1
2_epic/mbh/mbh_12_u.txt	n	63237	1
3_purana/agp_bi_u.txt	c	47840	1
3_purana/bhagp/bhp_03u.txt	n	431	1
3_purana/bhagp/bhp_03u.txt	n	1753	1
3_purana/bhagp/bhp_03u.txt	n	6151	1
3_purana/bhagp/bhp_04u.txt	n	1779	1
3_purana/bhagp/bhp_05u.txt	r	237	1
3_purana/bhagp/bhp_09u.txt	n	1993	1
3_purana/bhagp/bhp_09u.txt	n	2161	1
3_purana/bhagp/bhp_09u.txt	n	2627	1
3_purana/bhagp/bhp_09u.txt	n	2847	1
3_purana/garup1_u.txt	m	2723	1
3_purana/garup1_u.txt	m	22704	1
3_purana/garup1_u.txt	t	13972	1
3_purana/garup1_u.txt	t	16602	1
3_purana/garup2_u.txt	t	10549	1
3_purana/narsippu.txt	m	14175	1
4_rellit/buddh/asmahsuu.txt	n	4722	1
4_rellit/buddh/asmahsuu.txt	t	4572	1
4_rellit/buddh/mhvastuu.txt	c	939	1
4_rellit/buddh/mhvastuu.txt	c	5463	1
4_rellit/buddh/mhvastuu.txt	c	8691	1
4_rellit/buddh/mhvastuu.txt	h	871	1
4_rellit/buddh/mhvastuu.txt	h	6931	1
4_rellit/buddh/mhvastuu.txt	h	6939	1
