Skipped Long Lines Report
Input: data\tokenizer_corpora\weighted_full_v2_danda_split.txt
Threshold: UTF-8 byte length > 4192
Format: line_number	byte_length	char_length	text

80461	4466	1610	इति य एव देवा यज्ञहनस्च यज्ञमुषस्च पृथिव्यां तांस्तीर्त्वान्तरिक्षमारुहद्य एव देवा यज्ञहनस्च यज्ञमुषस्चान्तरिक्षे तांस्तीर्त्वा दिवमगन्य एव देवा यज्ञहनस्च यज्ञमुषस्च दिवि तांस्तीर्त्वा सजातानां मध्ये स्रैष्ठ्या आधादेनं सिरो वा एतद्यज्ञस्य यत्पुरोडासः केसा वेदो यद्वेदेन पुरोडासं संमार्ष्टि यज्ञस्य सर्वत्वायाथो मेध्यत्वाय यज्ञो वै देवेभ्यस्तिरोऽभवत्तं देवा वेदेनाविन्दंस्तद्वेदस्य वेदत्वं यद्वेदेन वेद्यामास्ते यज्ञमेवास्मै विन्दति पत्न्यै वेदं प्रयछति दुरनुवेदो वा अमुत्र यज्ञो यज्ञमेवास्मै विन्दति त्रिः प्रयछति त्रिषत्या हि देवा उपस्था आस्यते पुमांसं जानुका भवति पसवो वै वेद ओषधयो ह्येष एष खलु वै पसूनां लोको यदन्तराग्नी स्वे वा एतल्लोके यजमानो भ्रातृव्यस्य पसून्वृङ्क्तेऽर्धमासेऽर्धमासे वै यज्ञो विछिद्यते संततमाहवनीयात्स्तृणन्नेति यज्ञस्य संतत्यै तं संततमुत्तरेऽर्धमासेऽभियजते गोमं अग्नेऽविमं अस्वी यज्ञ इति गोमन्तमेवाविमन्तमस्विनं यज्ञमकरिडावानेषो असुर प्रजावान्दीर्घो रयिः पृथुबुध्नः सभावानित्यासिषमेवासास्ते सं पत्नी पत्या सुकृतेषु गछतामित्येष वै पत्न्या यज्ञस्यान्वारम्भः सह स्वर्गे लोके भवतो या वा एतस्य पत्नी सैतं संप्रति पस्चादन्वास्ते यत्संप्रति पस्चादन्वासीत प्रजामस्या निर्दहेद्यदाह पत्नि पत्न्येष ते लोक इति लोकमेवास्या अकरनिर्दाहुकोऽस्याः प्रजां भवति या सरस्वती वेसयमनीति वेसयमनं वेसानेवास्मै तेन यछत्युतास्याजीवन्तः सजाता उपासते वाचमिन्न्वस्य ब्राह्मणस्य वा राजन्यस्य वोपास्मह इति मांसं तु न पचेयुस्तस्मिन्नग्नौ यत्पचेयुः क्रव्यादं कुर्युर्न हि तस्मिन्नग्नौ मांसं पचन्ति यस्मिन्नाहुतीर्जुह्वत्ययास्चाग्नेऽस्यनभिसस्तिस्चेत्यया वै नामैषाग्नेः प्रिया तनूरया मर्याधैर्येणेति खलु वा आहुर्यच्चैवात्र यज्ञे क्रियते यच्च न यां चैवात्र यज्ञस्य प्रायस्चित्तिं विद्म यां च न तस्यैषोभयस्य प्रायस्चित्तिः॥
80479	4811	1725	केसिनं वै दार्भ्यं गन्धर्वाप्सरसोऽपृछन्कथा यजमानो यजमानेन भ्रातृव्येण सदृङ्ङसीत्यहं वेदा इत्यब्रवीत्तेऽब्रुवन्नङ्ग नो यज्ञं व्याचक्ष्वा इति तेभ्यो यज्ञं व्याचष्ट तेऽब्रुवन्नुतैतेन यजमानो यजमानाद्भ्रातृव्यात्पापीयान्त्स्यादिति तेऽब्रुवंस्तथा वै ते यज्ञं विधास्यामो यथा यजमानो यजमानं भ्रातृव्यमभिभविष्यसीति तस्मा आहुतीर्यज्ञं व्यदधुस्ततः केसी षण्डिकमौद्भारिमभ्यभवदभि भ्रातृव्यं यज्ञेन भवति य एवं वेद प्राणो वा आघारः पूर्वार्धे होतव्यो मुखत एवास्य प्राणं दधाति प्राणो वा आघारो मध्यतो होतव्यो मध्यत एवास्य प्राणं दधात्याघारं भूयिष्ठमाहुतीनां जुहुयात्प्राणो वा आघारः प्राणमेवास्य भूयिष्ठं करोति संततमाघारमाघारयेत्प्राणो वा आघारः प्राणस्य संतत्ययूर्ध्वमाघारमाघारयेत्स्वर्गकामस्य यजमानो वा आघारो यजमानमेव स्वर्गं लोकं गमयति यं द्विष्यात्तस्य न्यञ्चमाघारयेत्पापीयान्भवत्यभिक्रामन्ती वा एकाहुतिरपक्रामन्त्येका प्रतिष्ठितैका यामभिक्रामं जुहोति साभिक्रामन्ती यामपक्रामं जुहोति सापक्रामन्ती यां समानत्र तिष्ठन्जुहोति सा प्रतिष्ठिता यं कामयेताभितरं वसीयाञ्स्रेयान्त्स्यादिति तस्याभिक्रामं जुहुयात्तेन सोऽभितरं वसीयाञ्स्रेयान्भवत्यथ यं कामयेतापतरं पापीयान्त्स्यादिति तस्यापक्रामं जुहुयात्तेन सोऽपतरं पापीयान्भवत्यथ यं कामयेत न वसीयान्त्स्यान्न पापीयानिति तस्य समानत्र तिष्ठन्जुहुयात्तेन स न वसीयान्न पापीयान्भवत्यृतवो वै प्रयाजाः समानत्र होतव्या ऋतूनां प्रतिष्ठित्यै याग्नेराज्यभागस्य सोत्तरार्धे होतव्या ततो योत्तरा सा रक्षोदेवत्या या सोमस्याज्यभागस्य सा दक्षिणार्धे होतव्या ततो या दक्षिणा सा पितृदेवत्यैतद्वा अन्तराहुतीनां लोकः कॢप्ता अस्याहुतयो यथापूर्वं हूयन्ते य एवं वेद धूमे जुहोति तां तमसि जुहोति ततो यजमानोऽरोचुको भवति यामङ्गारेषु जुहोति सान्धाहुतिस्ततो यजमानस्य चक्षुः प्रमायुकं भवत्युभे ज्योतिष्मति होतव्ये रोचुको यजमानो भवति नास्य चक्षुः प्रमीयते यामब्राह्मणः प्रास्नाति सा स्कन्नाहुतिस्तस्या वसिष्ठ एव प्रायस्चित्तिं विदांचकार॥
80574	4961	1789	महि त्रीणामवोऽस्त्विति प्राजापत्येन तृचेनोपतिष्ठते प्राजापत्या वा इमाः प्रजास्ता एवावारुद्ध ता आद्या अकृताथो प्रजापतिमेवोपैति प्रजापता एव देवतासु प्रतितिष्ठति सोमानं स्वरणमिति ब्राह्मणस्पत्ययोपतिष्ठते ब्रह्मणि प्रतितिष्ठत्यथो ब्रह्मवर्चसमेवावरुन्द्धे यो वै ब्रह्मणि प्रतिष्ठितेन स्पर्धते पूर्वोऽस्मात्पद्यत उभयीर्वा अग्निहोत्रिणि देवता आसंसन्ते याभ्यस्च जुहोति याभ्यस्च न मित्रस्य चर्षणीधृता इति मैत्र्योपतिष्ठत उभयत एवैतया मित्रमकृतेतस्चामुतस्च कदा चन स्तरीरसीत्यैन्द्रीभ्यां बृहतीभ्यामुपतिष्ठत ऐन्द्रा वै पसवस्तानेवावारुद्ध तानाद्यानकृत परि ते दूडभो रथा इत्यसौ वा आदित्यो दूडभो रथ एष वा इमा उभौ लोकौ समीयते सर्वमेवैतया परिगृह्णाति निम्रदोऽसि न्यहं तं मृद्यासं यो अस्मान्द्वेष्टि यं च वयं द्विष्म इति पार्ष्ण्यावगृह्णीयाद्यदि पापीयसा स्पर्धेताभिभूरस्यभ्यहं तं भूयासं यो अस्मान्द्वेष्टि यं च वयं द्विष्म इति दक्षिणतः पदोऽवगृह्णीयाद्यदि सदृसेन स्पर्धेत प्रभूरसि प्राहं तमतिभूयासं यो अस्मान्द्वेष्टि यं च वयं द्विष्म इति प्रपदेनावगृह्णीयाद्यदि स्रेयसा स्पर्धेत सर्वानेवैनानभिभवति सर्वानतिभवति सर्वानतिक्रामति पूषा मा पथिपाः पात्वितीयमेव पूषा मा पसुपाः पात्वित्यन्तरिक्षमेव पूषा माधिपाः पात्वित्यसा एवेमानेव लोकानुपासरदेभ्यो लोकेभ्य आत्मानं परिधत्तेऽहिंसायै प्राची दिगग्निर्देवतेति तनूपानामेव दिक्षु निधत्तेऽथ येन स्पर्धते येन वा व्यभिचरते स एता एव देवता ऋत्वा पूर्वः पराभवति सप्त वै पुरुषे महिमानस्ते वा एनेनेड्यास्ते वै प्राणा प्राणान्वा एतदीट्ट ईट्टे ह वै स्वान्प्राणान्वृङ्क्ते भ्रातृव्यस्य प्राणान्नैनमभिदासन्त्स्तृणुते य एवं वेद धर्मो मा धर्मणः पातु विधर्मो मा विधर्मणः पात्वायुस्च प्रायुस्च चक्षस्च विचक्षस्च प्राङ्चापाङ्चोरुक इत्ययं वा उरुक एष विभजति तद्यदेष भजति तदेतस्मिन्नेव पुनराभजत्यग्ने गृहपतेऽग्निं समिन्धे यजमान एतद्वै यजमानस्य स्वं यदग्निरेतदग्नेर्यद्यजमान आयतनमिव वा एतत्क्रियते ज्योतिषे तन्तवे त्वेत्यन्तराग्नी उपविस्य वदेद्यामेव पुर आसिषमासास्ते यां पस्चात्तामात्मन्धत्ते॥
80650	6881	2445	प्रजापतिर्वा इदमग्र आसीत्तं वीरुधोऽभ्यरोहन्नसुर्यो वा एता यदोषधयस्ता अतितिष्टिघिषन्नतिष्टिघं नासक्नोत्सोऽसोचत्सोऽतप्यत ततोऽग्निरसृज्यत तमग्निं सृष्टं वीरुधां तेजोऽगछत्ता असुष्यन्न ततः पुरासुस्यन्स प्रजापतिरग्निमाधत्तेमा एवासहा इति ता असहत तत्साढ्यै वावैष आधीयते तद्यथादो वसन्तासिसिरेऽग्निर्वीरुधः सहत एवं सपत्नं भ्रातृव्यमवर्तिं सहते य एवं विद्वानग्निमाधत्त एतावद्वा अस्या अनभिमृतं यावद्वेदिः परिगृहीता तामुद्धत्याप उपसृज्याग्निमाधत्ते यज्ञियामेवैनां मेध्यां कृत्वाधत्तेऽग्नेर्वा इयं सृष्टादबिभेदति मा धक्ष्यतीति यदप उपसृज्याग्निमाधत्तेऽस्या अनतिदाहायैषा वै प्रजापतेः सर्वता तनूर्यदापः सर्वत एनं प्रजाः सर्वतः पसवोऽभि पुण्येन भवन्ति य एवं विद्वानप उपसृज्याग्निमाधत्ते यावद्वै वराहस्य चषालं तावतीयमग्र आसीद्यद्वराहविहतमुपास्याग्निमाधत्त इमामेव तन्नापाराडस्या एनं मात्रायामध्याधत्ते तस्मादेषा वराहाय विम्रदत एष ह्यस्या मात्रां बिभर्ति देवपाणयो वै नामासुरा आसंस्ते देवगवीरपाजंस्ता अन्वगछंस्ता अभ्याजंस्तासां पयोऽहीयत तेऽब्रुवन्यद्वा आसां वरमभूत्तदहास्तेति तद्वराहो भूत्वासुरेभ्योऽधि देवानागछत्तस्माद्वराहं गावोऽनुधावन्ति स्वं पयो जानानास्तद्यावत्प्रियमेव पसूनां द्विपदां चतुष्पदां पयस्तावत्प्रियः पसूनां द्विपदां चतुष्पदां भवति य एवं विद्वान्वराहविहतमुपास्याग्निमाधत्त एतद्वा अस्या अनभिमृतं यद्वल्मीको यद्वल्मीकवपामुपकीर्याग्निमाधत्तेऽस्या एवैनमनभिमृतेऽध्याधत्ते रसो वा एषोऽस्या उदैषद्यद्वल्मीको यद्वल्मीकवपामुपकीर्याग्निमाधत्तेऽस्या एवैनं रसेऽध्याधत्त ऊर्ग्वा एषोऽस्या उदैषद्यद्वल्मीको यद्वल्मीकवपामुपकीर्याग्निमाधत्तेऽस्या एवैनमूर्जध्याधत्ते प्रजापतेर्वा एष स्तनो यद्वल्मीको यद्वल्मीकवपामुपकीर्याग्निमाधत्ते प्रजापतिरेवास्मै स्तनमपिदधात्यन्नाद्यमस्मा अवरुन्द्धेऽक्षुध्यतां स्वानां पुरःस्थाता भवति य एवं वेदैतावद्वा अमुष्या इह यज्ञियं यदूषा यदूषानुपकीर्याग्निमाधत्तेऽमुष्या एवैनं यज्ञियेऽध्याधत्ते न वा अनूषरिहः पसवो रेतो दधत्ते यदूषानुपकीर्याग्निमाधत्ते रेत एवैतद्दधाति पसूनां पुष्ट्यै प्रजात्ययेष वा अग्निर्वैस्वानरो यदसा आदित्यः स यदिहासीत्तस्यैतद्भस्म यत्सिकता यत्सिकता उपकीर्याग्निमाधत्ते स्व एवैनं योनौ स्वे भस्मन्नाधत्ते सिथिरा वा इयमग्र आसीत्तां प्रजापतिः सर्कराभिरदृंहद्यञ्सर्करा उपकीर्याग्निमाधत्त इमामेव तद्दृंहति धृत्यै तद्यथेमां प्रजापतिः सर्कराभिरदृंहदेवमस्मिन्पसवो दृंहन्ते य एवं विद्वाञ्सर्करा उपकीर्याग्निमाधत्त इन्द्रो वै वृत्राय वज्रं प्राहरत्तस्य या विप्रुषा आसंस्ताः सर्करा अभवन्यञ्सर्करा उपकीर्याग्निमाधत्ते वज्रमेव सपत्नाय भ्रातृव्याय प्रहरति यं द्विष्यात्तम्तर्हि मनसा ध्यायेद्वज्रमेवास्मै प्रहरति स्तृणुत एव पुरीषीति वै गृहमेधिनमाहुः पुरीषस्य खलु वा एतन्निरूपं यदाखुकिरिर्यदाखुकिरिमुपकीर्याग्निमाधत्ते पुरीषी गृहमेधी भवति॥
80651	6124	2180	अग्निं वै देवा विभाजं नासक्नुवन्यत्प्राञ्चमहरन्त्सर्वः पुरोऽभवद्यत्प्रत्यञ्चमहरन्त्सर्वः पस्चाभवत्तमस्वेन पूर्ववाहोदवहंस्तदस्वस्य पूर्ववाहः पूर्ववाट्त्वमग्नेर्वै विभक्त्या अस्वोऽग्न्याधेये दीयतेऽविभक्तो वा एतस्याग्निरनाहितो योऽस्वमग्न्याधेये न ददात्यथ योऽस्वमग्न्याधेये ददाति विभक्त्यै विभाज्यैवैनमाधत्ते स्तोमपुरोगवा वै देवा असुरानभ्यजयन्नेष खलु स्तोमो यदस्वो यदस्वं पुरस्तान्नयन्त्यभिजित्वयभिजित्यैवैनमाधत्ते प्रजापतेर्वै चक्षुरस्वयत्तस्य यः स्वयथा आसीत्सोऽस्वोऽभवद्यदस्वं पुरस्तान्नयन्ति यजमानायैव चक्षुर्दधाति न पराङवसृज्यो यत्पराञ्चमवसृजेद्यजमानं चक्षुर्जह्यादन्धः स्यात्प्रत्यवगृह्याधेयो यजमानायैव चक्षुः प्रत्यवाग्रहीन्न पद आधेयो वास्तव्यं कुर्याद्रुद्रोऽस्य पसूनभिमानुकः स्यात्पार्स्वत इतो वेतो वाधेयो न वास्तव्यं करोत्यघातुकोऽस्य पसुपतिः पसून्भवति गायत्रीं वै देवा यज्ञमछ प्राहिण्वन्सा रिक्तागछत्तस्या अग्निस्तेजः प्रायछत्सोऽजोऽभवद्यदजमग्न्याधेये ददाति तेज एवावरुन्द्धेऽग्नीधे देयो यज्ञमुखं वा अग्नीद्यज्ञमुखेनैव यज्ञमुखं समर्धयति धेनुं चानड्वाहं च ददाति तत्सर्वं वयोऽवरुन्द्ध एतद्वै सर्वं वयो यद्धेनुस्चानड्वांस्चैतौ वै यज्ञस्य माता च पिता च यद्धेनुस्चानड्वांस्चाज्यं च पयस्च धेन्वाः पुरोडासस्च चरुस्चानडुहस्तदाहुः कामदुघां वा एषोऽवरुन्द्धे योऽग्न्याधेये धेनुं चानड्वाहं च ददातीति तद्येषां पसूनां भूयिष्ठं पुष्टिं कामयेत तेषां दित्यौहीं वयसो दद्याद्दित्यवाहं च मुष्करं तन्मिथुनं पसूनां पुष्ट्यै प्रजात्यै वाग्वै सोमक्रयणी दित्यौही वयसः सोमक्रयणी यद्दित्यौहीं वयसो ददाति वाचमेवावरुन्द्धे चारु वदति य एवं वेदोपबर्हणं सर्वसूत्रं देयं छन्दसां वा एतन्निरूपं यदुपबर्हणं सर्वसूत्रं यदुपबर्हणं सर्वसूत्रं ददाति छन्दांस्येवावरुन्द्धे पसवो वै छन्दांसि पसूनेवावरुन्द्धेऽयज्ञियो वै अमेध्य आहनस्याज्जायते पुरुषक्षीरं धयति हिरण्यं ददात्यात्मानमेव तेन पुनीते सतमानं भवति सतायुर्वै पुरुषः सतवीर्य आयुरेव वीर्यमाप्नोति पूर्वयोर्हविषोर्द्वे त्रिंसन्माने देये उत्तरस्मिंस्चत्वारिंसन्मानं तदेनमुदग्रहीत्तेन स उत्तरं वसीयाञ्स्रेयान्भवत्यजातो वै तावत्पुरुषो यावदग्निं नाधत्ते स तर्ह्येव जायते यर्ह्यग्निमाधत्ते क्षौमे वसाना अग्निमादधीयातां ते अध्वर्यवे देये उल्बस्य वा एतन्निरूपं यत्क्षौममुल्बमेवापलुम्पेते हिरण्यं सुवर्णमुपास्याग्निराधेयो हिरण्यं वा अग्नेस्तेजः सतेजसमेवैनमाधत्ते तन्न निरस्तवै यथानुहितं निरस्येदेवं तद्यन्निरस्येदनुध्यायी क्षोधुकः स्यात्तन्न निरस्तवयननुध्याय्यक्षोधुको भवति॥
80662	5025	1801	अग्निं वै सृष्टं प्रजापतिः पवमानेनाग्रा उपाधमद्यत्पवमानाय निर्वपत्युपैवैनं तद्धमति यत्पावकाय पुनात्येनं यञ्सुचये यदेवास्यापूतं तदेतेन पुनाति यत्पवमानाय निर्वपति पसवो वै पवंअनः पसूनेवावरुन्द्धे यत्पावकायान्नं वै पावकमन्नमेवावरुन्द्धे यञ्सुचये पूत एवास्मिन्रुचं दधाति यं कामयेतापतरं पापीयान्त्स्यादिति तस्यैकमेकं हवींसि निर्वपेत्तदेनमपाग्रहीत्तेन सोऽपतरं पापीयान्भवत्यथ यं कामयेत न वसीयान्त्स्यान्न पापीयानिति तस्य सर्वाणि साकं हवींषि निर्वपेत्तदेनं संरुणद्धि तेन स न वसीयान्न पापीयान्भवत्यथ यं कामयेदुत्तरं वसीयाञ्स्रेयान्त्स्यादिति तस्याग्नये पवमानाय निरुप्याथ पावकाय च सुचये चोत्तरे हविषी समानबर्हिषि निर्वपेत्तदेनमुदग्रहीत्तेन स उत्तरं वसीयाञ्स्रेयान्भवत्यथ यस्य त्रिष्टुभौ वानुष्टुभौ वा जगती वा संयाज्ये स्यातामति गायत्रं क्रामेदर्वाक्छन्दोभ्योऽवपद्येत तद्यस्येर्त्सेद्गायत्र्या एव तस्य संयाज्ये कुर्याद्गायत्रो ह्यग्निर्गायत्रछन्दाः स्व एवैनं योनौ स्वे छन्दसि प्रतिष्ठापयत्याग्नावैष्णवमेकादसकपालं निर्वपेदग्निर्वै सर्वा देवता विष्णुर्यज्ञो देवतास्चैव यज्ञं चालब्ध विष्णवे सिपिविष्टाय त्र्युद्धौ घृते चरुं निर्वपेद्यद्विष्णवे विष्णुर्वै यज्ञो यज्ञमेवालब्ध यञ्सिपिविष्टं पसवो वै सिपिविष्टं पसूनेवावरुन्द्धे यत्त्र्युद्धौ त्रयो वा इमे लोका इमानेव लोकानाप्नोति यद्घृते तेजो वै घृतं तेज एवावरुन्द्ध आदित्यं घृते चरुं निर्वपेत्पसुकामो धेन्वा वै घृतं पयोऽनडुहस्तण्डुलास्तन्मिथुनं पसूनां पुष्ट्यै प्रजात्ययग्नीषोमीयं पुरोडासं द्वितीयमनुनिर्वपेत्तद्भूयो हव्यमुपागान्नो अस्यान्य ईसे यर्हि वा एतं पुरा ब्राह्मणा निरवपंस्तर्ह्येषां न कस्चनैस न हि वा एतमिदानीं निर्वपन्त्यथैषां सर्व ईसे यदाग्नेयस्तेजो वा अग्निस्तेज एवावरुन्द्धे यत्सौम्यः सोमो वै सुक्रो ब्रह्मवर्चसं ब्रह्मवर्चसमेवावरुन्द्धे तद्योऽसा आदित्यो घृते चरुस्तं ब्रह्मणे परिहरेयुस्तं चत्वारः प्रास्नीयुस्तेभ्यः समानो वरो देयस्चतुर्वा इदमग्रे मिथुनमौद्यतैकस्चैका च द्वौ च द्वे च त्रयस्च तिस्रस्च चत्वारस्च चतस्रस्च तन्मिथुनं पसूनां पुष्ट्यै प्रजात्यै॥
80699	4591	1635	अष्टमीमजुहोत्ततो वसन्तोऽसृज्यत नवमीमजुहोत्ततो ग्रीष्मोऽसृज्यत दसमीमजुहोत्ततो वर्षा असृज्यन्तैकादसीमजुहोत्ततः सरदसृज्यत द्वादसीमजुहोत्ततो हेमन्तोऽसृज्यतोद्यता त्रयोदस्याहुतिरासीदथ सिसिरमसृज्यत तस्मादेतदृतूनामसान्तं क्रूरमहुताद्धि समभवदहुतादसृज्यत तदाहुर्ब्रह्मवादिन ऋतवः पूर्वेऽसृज्यन्ता पसवा इत्युत ऋतव उत पसवा इति ब्रूयादुभये ह्येते सहासृज्यन्त स वा एनमित एव पुनः प्राविसदेतद्वा अग्निधानं हस्तस्य यत्पाणिस्तस्मादेतो हस्तस्याग्निर्नतमां विदहति यद्धन्यमानो हस्तौ प्रतिप्रसारयत्यग्नौ वा एतन्न्यञ्चनमिछतेऽग्निं वै पसवः प्रविसन्त्यग्निः पसून्प्र ह वा एनं पसवो विसन्ति प्र स पसून्य एवं वेदैतद्ध स्म वा आह नारदो यत्र गां सयानां निर्जानाति मृतामेनामविद्वान्मन्यता इत्यग्निं ह्येवैते प्रविसन्त्यग्निरेतांस्तस्मात्सर्वानृतून्पसवोऽग्निमभिसर्पन्ति न ह्येत ऋतेऽग्नेर्यज्जातः पसूनविन्दत तज्जातवेदसो जातवेदस्त्वं तामप्सु प्रासिञ्चत्सापोऽन्वदहत्ता अग्नये वज्रोऽभवंस्तस्माद्धवींषि प्रोक्षताग्निरभि न प्रोक्ष्यो यदभिप्रोक्षेद्धतेन यज्ञेन यजेत तां वै प्रजापतिरन्वैछत्तामप्स्वन्वविन्दत्तामोषधीषु न्यमार्ट्तस्मादोषधयोऽनभ्यक्ता रेभन्त ओषधीभ्यः पसवः पसुभ्यो मनुष्या अनभ्यक्तो ह रेभते य एवं वेद तद्यो वसन्तासिसिरे कक्षः स उपाधेय एतद्वै तदग्नेः प्रियं धामैषा वाव साहुतिः स्रायत्यग्नेरेवैतया प्रियं धामोपैत्यथो पसुमान्भवत्यथो आत्मानमेवैतया यजमानः पुनीते सह वा एता आस्तामग्निस्च सूर्यस्च समाने योना अयसि लोहिते स आदित्य ऊर्ध्व उदद्रवत्तस्य रेतः परापतत्तदग्निर्योनिनोपागृह्णात्तदेनं व्यदहत्तस्मादयोऽत्रपु प्रतिधुक्क्षीरं विदहति तस्मादेतज्जुह्वति पसूनां वा एतत्पयो यद्व्रीहियवौ तस्मादेतज्जुह्वति नातिसृतं कार्यं रेतः सोषयेद्यद्विष्यन्देतोन्मादुकोऽस्य प्रजायामाजायेतामुष्य वा एतदादित्यस्य रेतो हूयतेऽमेध्यमसृतं समुदन्तं होतव्यं तद्धि सृतं मेध्यं मिथुनं प्रजनिष्णु॥
80700	4230	1518	स्थाल्या दुहत्यनया वा एतदुपसीदन्ति नहीमामितो नेतः स्कन्दत्यस्कन्नत्वायार्यकृती भवत्यूर्ध्वकपाला सदेवत्वाय सा हि सदेवासुर्यं वा एतत्पात्रं यत्कुलालकृतं चक्रवृत्तं यत्र स्कन्देत्तदपो निनयेदापो वै सान्तिरापो निष्कृतिरापो भेषजा यत्र वा एता अस्या उपयन्ति तत्प्रसस्ततरा ओषधयो जायन्ते बंहीयसीर्यदि दुह्यमानावभिन्द्यादन्यया स्थाल्या निर्णिज्य दोह्या यज्ञो हि यज्ञस्य प्रायस्चित्तिर्यद्यधिस्रितं स्कन्देद्यद्युद्वास्यमानं यद्युद्वासितं यद्युन्नीयमानं यद्युन्नीतं यदि पुरः पराहृतं होमाय पुनरवनीयान्याभिदुह्या यज्ञो हि यज्ञस्य प्रायस्चित्तिर्वारुणीमृचमनूच्य वारुण्या होतव्यं वरुणो वा एतद्यज्ञस्य गृह्णाति यदार्छति निष्कृतिरेवैषा प्रायस्चित्तिरप्रतिषेक्यं स्यात्तेजस्कामस्य ब्रह्मवर्चसकामस्याथो तुस्तूर्षमाणस्याथो यः कामयेत वीरो मा आजायेतेत्यप्रतिषिक्तो वै घर्मस्तेजो ब्रह्मवर्चसं तेजस्वी ब्रह्मवर्चसी भवति स्तृणुते यं तुस्तूर्षत आ हास्य वीरो जायत आज्येन होतव्यं यस्याप्रतिषेक्यं स्यादेतद्वा अप्रतिषिक्तं न तु स्कन्नस्य प्रायस्चित्तिरस्त्यथो न पसुमानिव भवति पसूनां वा एतत्पयः प्रवृज्यते सुचं पसुषु दधाति तेजोऽसान्तं पसून्निर्दहति तस्मात्प्रतिषेक्यमेव स्याद्यदद्भिः प्रतिषिञ्चेद्धरो विनयेद्गांदोहसंनेजनेन प्रतिषिच्यं तद्धि नापो न पयस्तदाहुः स्कन्दति वा एतद्यर्हि वा एतद्दोहनात्पर्याक्रियते तर्हि स्कन्नमन्तर्हिता ह्यस्या वनस्पतय इति तदद्भिरेव प्रतिषिच्यं स्तोकेनैकेन न हरो विनयति सुचं पसूनां समयति पसवो वै तेजो ब्रह्मवर्चसं मिथुनं वा आपस्च पयस्च मिथुनात्खलु वै प्रजाः पसवः प्रजायन्ते तन्मिथुनं तस्मादेव मिथुनाद्यजमानः प्रजया च पसुभिस्च प्रजायत ओदनेन होतव्यं यस्य प्रातषेक्यं स्यादेष हि प्रतिषिक्तः सान्तो मेध्यो मिथुनः प्रजनिष्णुः॥
80749	4905	1729	इत्यस्मिन्वावैनमेतं लोके दाधार सह प्रजया पसुभिस्च यजमानो वसीयान्भवति मैत्रं चरुं निर्वपेत्सौर्यमेककपालं यस्याहुतमग्निहोत्रं सूर्योऽभ्युदियान्मित्रो वा एतस्य यज्ञं युवते यस्याहुतमग्निहोत्रं सूर्योऽभ्युदेति मित्रमहर्यन्मैत्रो मित्रादेवास्याधि यज्ञं स्पृणोत्यथ यत्सौर्योऽमुनैवास्यादित्येन पुरस्ताद्यज्ञं समर्धयति यस्याहुतमग्निहोत्रं सूर्योऽभ्युदियादग्निं समाधाय वाचं यत्वा दंपती सर्वाह्णमुपासीयातां द्वयोर्गवोः सायमग्निहोत्रं जुहुयादुभयमेवास्मै भागधेयं प्रयछति सायन्तनं च प्रातस्तनं च यद्वै पुरुषस्यामयत्यस्नाती नास्नाती इति वै तमाहुर्नास्नातीति चेदाहुस्तद्वाव सोऽमृतेति यन्नास्नीतो न व्याहरतोऽन्वेवैनमम्रातां तपसैनं पुनरवरुन्धाते अग्नये व्रतपतयेऽष्टाकपालं निर्वपेदग्निर्वै देवानां व्रतपतिस्तमेव भागधेयेनोपासरत्स एनं व्रतमालम्भयति यस्याग्निरपक्षायेद्यत्रैवैनमनुपरागछेत्तत्समाधायान्ववसायाग्निहोत्रं जुहुयादेति वा एतदग्निर्यदपक्षायति यत्रैवैनमनुपरागछति तत एनं पुनरवरुन्द्धेऽग्नये पथिकृतेऽष्टाकपालं निर्वपेद्यस्याग्निरपक्षायेद्बहिष्पथं वा एष एति यस्याग्निरपक्षायत्यग्निर्वै देवानां पथिकृत्तमेव भागधेयेनोपासरत्स एनं पन्थामपिनयत्यनड्वान्दक्षिणा स हि पन्थामपिवहत्यग्नये सुचयेऽष्टाकपालं निर्वपेद्यस्याभ्यादाव्येन संसृज्येतासुचितर इव वा एष यदभ्यादाव्यो यदग्नये सुचये सुचिमेवैनं मेध्यं करोत्यग्नये क्षामवतेऽष्टाकपालं निर्वपेद्यस्याहिताग्नेः सतोऽग्निर्गृहान्दहेदग्निर्वा एतस्य क्षामो गृहानभ्युच्यति स दहत्येवापरं यदग्नये क्षामवते यैवास्य क्षामा प्रिया तनूस्तामेवास्य भागधेयेन समयत्यदाहुकोऽस्यापरमग्निर्गृहान्भवति यस्याग्निरनुगछेत्तेभ्य एवावक्षाणेभ्योऽधि मन्थितव्यस्तदेनं स्वाद्योनेः प्रजनयति यदि न तादृसानि वावक्षाणानि स्युर्भस्मनारणी संस्पृस्य मन्थितव्यः स्वादेवैनं योनेः प्रजनयत्यग्नये तपस्वते जनद्वते पावकवतेऽष्टाकपालं निर्वपेद्यस्याग्निरनुगछेन्न हि वा एतस्मा अपिधीयतेऽथैषोऽनुगछत्योषधयो वै पावका ओषधीरेवास्मै पावका भागधेयमपिदधाति प्रजननाय॥
