path,source,layer,chars,lines,compact_chars,duplicate_status,duplicate_of,layer_weight,duplicate_weight,final_weight,effective_chars
data/processed/gretil_devanagari/1_veda/1_sam/1_rv/rv_01_u.txt,gretil,veda,178480,4129,155244,primary,,0.800,1.000,0.800,142784.0
data/processed/gretil_devanagari/1_veda/1_sam/1_rv/rv_02_u.txt,gretil,veda,41567,883,36177,primary,,0.800,1.000,0.800,33253.6
data/processed/gretil_devanagari/1_veda/1_sam/1_rv/rv_03_u.txt,gretil,veda,55578,1269,48415,primary,,0.800,1.000,0.800,44462.4
data/processed/gretil_devanagari/1_veda/1_sam/1_rv/rv_04_u.txt,gretil,veda,54785,1227,47652,primary,,0.800,1.000,0.800,43828.0
data/processed/gretil_devanagari/1_veda/1_sam/1_rv/rv_05_u.txt,gretil,veda,66565,1526,57759,primary,,0.800,1.000,0.800,53252.0
data/processed/gretil_devanagari/1_veda/1_sam/1_rv/rv_06_u.txt,gretil,veda,70099,1562,60791,primary,,0.800,1.000,0.800,56079.2
data/processed/gretil_devanagari/1_veda/1_sam/1_rv/rv_07_u.txt,gretil,veda,77596,1720,67135,primary,,0.800,1.000,0.800,62076.8
data/processed/gretil_devanagari/1_veda/1_sam/1_rv/rv_08_u.txt,gretil,veda,121153,3511,104810,primary,,0.800,1.000,0.800,96922.4
data/processed/gretil_devanagari/1_veda/1_sam/1_rv/rv_09_u.txt,gretil,veda,81447,2295,70401,primary,,0.800,1.000,0.800,65157.6
data/processed/gretil_devanagari/1_veda/1_sam/1_rv/rv_10_u.txt,gretil,veda,163772,3666,144045,primary,,0.800,1.000,0.800,131017.6
data/processed/gretil_devanagari/1_veda/1_sam/1_rv/rv_hn01u.txt,gretil,veda,189053,4225,165204,primary,,0.800,1.000,0.800,151242.4
data/processed/gretil_devanagari/1_veda/1_sam/1_rv/rv_hn02u.txt,gretil,veda,44658,902,39026,primary,,0.800,1.000,0.800,35726.4
data/processed/gretil_devanagari/1_veda/1_sam/1_rv/rv_hn03u.txt,gretil,veda,59361,1297,52016,primary,,0.800,1.000,0.800,47488.8
