rule_id	left	right	surface	variant	status
EXT_0001	a	a	ā	1	active
EXT_0002	a	ā	ā	1	active
EXT_0003	a	i	e	1	active
EXT_0004	a	ī	e	1	active
EXT_0005	a	u	o	1	active
EXT_0006	a	ū	o	1	active
EXT_0007	a	ṛ	ar	1	active
EXT_0008	a	ṝ	ar	1	active
EXT_0009	a	e	ai	1	active
EXT_0010	a	ai	ai	1	active
EXT_0011	a	o	au	1	active
EXT_0012	a	au	au	1	active
EXT_0013	a	k	a#k	1	active
EXT_0014	a	kh	a#kh	1	active
EXT_0015	a	g	a#g	1	active
EXT_0016	a	gh	a#gh	1	active
EXT_0017	a	c	a#c	1	active
EXT_0018	a	ch	a#ch	1	active
EXT_0019	a	j	a#j	1	active
EXT_0020	a	jh	a#jh	1	active
EXT_0021	a	ṭ	a#ṭ	1	active
EXT_0022	a	ṭh	a#ṭh	1	active
EXT_0023	a	ḍ	a#ḍ	1	active
EXT_0024	a	ḍh	a#ḍh	1	active
EXT_0025	a	t	a#t	1	active
EXT_0026	a	th	a#th	1	active
EXT_0027	a	d	a#d	1	active
EXT_0028	a	dh	a#dh	1	active
EXT_0029	a	p	a#p	1	active
EXT_0030	a	ph	a#ph	1	active
EXT_0031	a	b	a#b	1	active
EXT_0032	a	bh	a#bh	1	active
EXT_0033	a	n	a#n	1	active
EXT_0034	a	m	a#m	1	active
EXT_0035	a	y	a#y	1	active
EXT_0036	a	r	a#r	1	active
EXT_0037	a	l	a#l	1	active
EXT_0038	a	v	a#v	1	active
EXT_0039	a	ś	a#ś	1	active
EXT_0040	a	ṣ	a#ṣ	1	active
EXT_0041	a	s	a#s	1	active
EXT_0042	a	h	a#h	1	active
EXT_0043	ā	a	ā	1	active
EXT_0044	ā	ā	ā	1	active
EXT_0045	ā	i	e	1	active
EXT_0046	ā	ī	e	1	active
EXT_0047	ā	u	o	1	active
EXT_0048	ā	ū	o	1	active
EXT_0049	ā	ṛ	ar	1	active
EXT_0050	ā	ṝ	ar	1	active
EXT_0051	ā	e	ai	1	active
EXT_0052	ā	ai	ai	1	active
EXT_0053	ā	o	au	1	active
EXT_0054	ā	au	au	1	active
EXT_0055	ā	k	ā#k	1	active
EXT_0056	ā	kh	ā#kh	1	active
EXT_0057	ā	g	ā#g	1	active
EXT_0058	ā	gh	ā#gh	1	active
EXT_0059	ā	c	ā#c	1	active
EXT_0060	ā	ch	ā#ch	1	active
EXT_0061	ā	j	ā#j	1	active
EXT_0062	ā	jh	ā#jh	1	active
EXT_0063	ā	ṭ	ā#ṭ	1	active
EXT_0064	ā	ṭh	ā#ṭh	1	active
EXT_0065	ā	ḍ	ā#ḍ	1	active
EXT_0066	ā	ḍh	ā#ḍh	1	active
EXT_0067	ā	t	ā#t	1	active
EXT_0068	ā	th	ā#th	1	active
EXT_0069	ā	d	ā#d	1	active
EXT_0070	ā	dh	ā#dh	1	active
EXT_0071	ā	p	ā#p	1	active
EXT_0072	ā	ph	ā#ph	1	active
EXT_0073	ā	b	ā#b	1	active
EXT_0074	ā	bh	ā#bh	1	active
EXT_0075	ā	n	ā#n	1	active
EXT_0076	ā	m	ā#m	1	active
EXT_0077	ā	y	ā#y	1	active
EXT_0078	ā	r	ā#r	1	active
EXT_0079	ā	l	ā#l	1	active
EXT_0080	ā	v	ā#v	1	active
EXT_0081	ā	ś	ā#ś	1	active
EXT_0082	ā	ṣ	ā#ṣ	1	active
EXT_0083	ā	s	ā#s	1	active
EXT_0084	ā	h	ā#h	1	active
EXT_0085	i	a	ya	1	active
EXT_0086	i	ā	yā	1	active
EXT_0087	i	i	ī	1	active
EXT_0088	i	ī	ī	1	active
EXT_0089	i	u	yu	1	active
EXT_0090	i	ū	yū	1	active
EXT_0091	i	ṛ	yṛ	1	active
EXT_0092	i	ṝ	yṝ	1	active
EXT_0093	i	e	ye	1	active
EXT_0094	i	ai	yai	1	active
EXT_0095	i	o	yo	1	active
EXT_0096	i	au	yau	1	active
EXT_0097	i	k	i#k	1	active
EXT_0098	i	kh	i#kh	1	active
EXT_0099	i	g	i#g	1	active
EXT_0100	i	gh	i#gh	1	active
EXT_0101	i	c	i#c	1	active
EXT_0102	i	ch	i#ch	1	active
EXT_0103	i	j	i#j	1	active
EXT_0104	i	jh	i#jh	1	active
EXT_0105	i	ṭ	i#ṭ	1	active
EXT_0106	i	ṭh	i#ṭh	1	active
EXT_0107	i	ḍ	i#ḍ	1	active
EXT_0108	i	ḍh	i#ḍh	1	active
EXT_0109	i	t	i#t	1	active
EXT_0110	i	th	i#th	1	active
EXT_0111	i	d	i#d	1	active
EXT_0112	i	dh	i#dh	1	active
EXT_0113	i	p	i#p	1	active
EXT_0114	i	ph	i#ph	1	active
EXT_0115	i	b	i#b	1	active
EXT_0116	i	bh	i#bh	1	active
EXT_0117	i	n	i#n	1	active
EXT_0118	i	m	i#m	1	active
EXT_0119	i	y	i#y	1	active
EXT_0120	i	r	i#r	1	active
EXT_0121	i	l	i#l	1	active
EXT_0122	i	v	i#v	1	active
EXT_0123	i	ś	i#ś	1	active
EXT_0124	i	ṣ	i#ṣ	1	active
EXT_0125	i	s	i#s	1	active
EXT_0126	i	h	i#h	1	active
EXT_0127	ī	a	ya	1	active
EXT_0128	ī	ā	yā	1	active
EXT_0129	ī	i	ī	1	active
EXT_0130	ī	ī	ī	1	active
EXT_0131	ī	u	yu	1	active
EXT_0132	ī	ū	yū	1	active
EXT_0133	ī	ṛ	yṛ	1	active
EXT_0134	ī	ṝ	yṝ	1	active
EXT_0135	ī	e	ye	1	active
EXT_0136	ī	ai	yai	1	active
EXT_0137	ī	o	yo	1	active
EXT_0138	ī	au	yau	1	active
EXT_0139	ī	k	ī#k	1	active
EXT_0140	ī	kh	ī#kh	1	active
EXT_0141	ī	g	ī#g	1	active
EXT_0142	ī	gh	ī#gh	1	active
EXT_0143	ī	c	ī#c	1	active
EXT_0144	ī	ch	ī#ch	1	active
EXT_0145	ī	j	ī#j	1	active
EXT_0146	ī	jh	ī#jh	1	active
EXT_0147	ī	ṭ	ī#ṭ	1	active
EXT_0148	ī	ṭh	ī#ṭh	1	active
EXT_0149	ī	ḍ	ī#ḍ	1	active
EXT_0150	ī	ḍh	ī#ḍh	1	active
EXT_0151	ī	t	ī#t	1	active
EXT_0152	ī	th	ī#th	1	active
EXT_0153	ī	d	ī#d	1	active
EXT_0154	ī	dh	ī#dh	1	active
EXT_0155	ī	p	ī#p	1	active
EXT_0156	ī	ph	ī#ph	1	active
EXT_0157	ī	b	ī#b	1	active
EXT_0158	ī	bh	ī#bh	1	active
EXT_0159	ī	n	ī#n	1	active
EXT_0160	ī	m	ī#m	1	active
EXT_0161	ī	y	ī#y	1	active
EXT_0162	ī	r	ī#r	1	active
EXT_0163	ī	l	ī#l	1	active
EXT_0164	ī	v	ī#v	1	active
EXT_0165	ī	ś	ī#ś	1	active
EXT_0166	ī	ṣ	ī#ṣ	1	active
EXT_0167	ī	s	ī#s	1	active
EXT_0168	ī	h	ī#h	1	active
EXT_0169	u	a	va	1	active
EXT_0170	u	ā	vā	1	active
EXT_0171	u	i	vi	1	active
EXT_0172	u	ī	vī	1	active
EXT_0173	u	u	ū	1	active
EXT_0174	u	ū	ū	1	active
EXT_0175	u	ṛ	vṛ	1	active
EXT_0176	u	ṝ	vṝ	1	active
EXT_0177	u	e	ve	1	active
EXT_0178	u	ai	vai	1	active
EXT_0179	u	o	vo	1	active
EXT_0180	u	au	vau	1	active
EXT_0181	u	k	u#k	1	active
EXT_0182	u	kh	u#kh	1	active
EXT_0183	u	g	u#g	1	active
EXT_0184	u	gh	u#gh	1	active
EXT_0185	u	c	u#c	1	active
EXT_0186	u	ch	u#ch	1	active
EXT_0187	u	j	u#j	1	active
EXT_0188	u	jh	u#jh	1	active
EXT_0189	u	ṭ	u#ṭ	1	active
EXT_0190	u	ṭh	u#ṭh	1	active
EXT_0191	u	ḍ	u#ḍ	1	active
EXT_0192	u	ḍh	u#ḍh	1	active
EXT_0193	u	t	u#t	1	active
EXT_0194	u	th	u#th	1	active
EXT_0195	u	d	u#d	1	active
EXT_0196	u	dh	u#dh	1	active
EXT_0197	u	p	u#p	1	active
EXT_0198	u	ph	u#ph	1	active
EXT_0199	u	b	u#b	1	active
EXT_0200	u	bh	u#bh	1	active
EXT_0201	u	n	u#n	1	active
EXT_0202	u	m	u#m	1	active
EXT_0203	u	y	u#y	1	active
EXT_0204	u	r	u#r	1	active
EXT_0205	u	l	u#l	1	active
EXT_0206	u	v	u#v	1	active
EXT_0207	u	ś	u#ś	1	active
EXT_0208	u	ṣ	u#ṣ	1	active
EXT_0209	u	s	u#s	1	active
EXT_0210	u	h	u#h	1	active
EXT_0211	ū	a	va	1	active
EXT_0212	ū	ā	vā	1	active
