rank,piece,clean_piece,score,vowel_count,categories
5,।,।,-3.08461,0,contains_special_A
6,ं,ं,-3.56877,0,contains_special_A
7,ः,ः,-3.84851,0,contains_special_A
8,॥,॥,-3.95722,0,contains_special_A
9,ा,ा,-4.07962,1,starts_with_dependent_vowel
10,े,े,-4.31836,1,starts_with_dependent_vowel
11,ो,ो,-4.44102,1,starts_with_dependent_vowel
12,▁च,च,-4.53401,0,simple_cv
13,▁न,न,-4.61752,0,simple_cv
14,म्,म्,-4.64792,0,ends_with_virama
16,▁स,स,-4.94483,0,simple_cv
18,म,म,-5.32191,0,simple_cv
21,ेन,ेन,-5.42948,1,starts_with_dependent_vowel
22,ाः,ाः,-5.47049,1,starts_with_dependent_vowel;contains_special_A
23,ी,ी,-5.77359,1,starts_with_dependent_vowel
24,▁वा,वा,-5.78821,1,simple_cv
25,ि,ि,-5.97677,1,starts_with_dependent_vowel
26,▁तु,तु,-5.99904,1,simple_cv
28,ौ,ौ,-6.05912,1,starts_with_dependent_vowel
29,ति,ति,-6.10129,1,simple_cv
30,ैः,ैः,-6.10342,1,starts_with_dependent_vowel;contains_special_A
32,▁हि,हि,-6.13276,1,simple_cv
33,न,न,-6.13975,0,simple_cv
34,त,त,-6.22119,0,simple_cv
35,ात्,ात्,-6.22184,1,starts_with_dependent_vowel;ends_with_virama
36,ाय,ाय,-6.22277,1,starts_with_dependent_vowel
37,ानि,ानि,-6.24908,2,starts_with_dependent_vowel
38,ान्,ान्,-6.26351,1,starts_with_dependent_vowel;ends_with_virama
42,ेषु,ेषु,-6.34462,2,starts_with_dependent_vowel
44,या,या,-6.38959,1,simple_cv
45,क,क,-6.40106,0,simple_cv
48,ानां,ानां,-6.42757,2,starts_with_dependent_vowel;contains_special_A
49,▁ते,ते,-6.48409,1,simple_cv
50,ता,ता,-6.48689,1,simple_cv
51,▁वि,वि,-6.48998,1,simple_cv
54,ेण,ेण,-6.60058,1,starts_with_dependent_vowel
55,ादि,ादि,-6.60449,2,starts_with_dependent_vowel
56,स,स,-6.63229,0,simple_cv
57,ां,ां,-6.63543,1,starts_with_dependent_vowel;contains_special_A
59,ऽ,ऽ,-6.65687,0,contains_special_A
60,ते,ते,-6.65911,1,simple_cv
63,ेति,ेति,-6.69106,2,starts_with_dependent_vowel
64,र,र,-6.72112,0,simple_cv
65,्,्,-6.72789,0,ends_with_virama
