source_path,relative_path,source_chars,extracted_chars,canonical_chars,removed_chars,replacement_count,html_removed_chars,normalization_char_delta,decode_replacement_count,unknown_character_count
data/raw/gretil/1_veda/2_bra/gopbra_u.htm,1_veda/2_bra/gopbra_u.htm,357029,328322,252977,104052,33727,28707,75345,0,0
data/raw/gretil/1_veda/2_bra/kausibru.htm,1_veda/2_bra/kausibru.htm,503629,470193,341002,162627,25989,33436,129191,0,0
data/raw/gretil/1_veda/2_bra/pncvbr1u.htm,1_veda/2_bra/pncvbr1u.htm,411145,391181,332378,78767,42794,19964,58803,0,0
data/raw/gretil/1_veda/2_bra/pncvbr2u.htm,1_veda/2_bra/pncvbr2u.htm,411331,394411,335603,75728,42793,16920,58808,0,0
data/raw/gretil/1_veda/2_bra/satapath/sb_01_u.htm,1_veda/2_bra/satapath/sb_01_u.htm,215431,183943,167446,47985,17102,31488,16497,0,0
data/raw/gretil/1_veda/2_bra/satapath/sb_02_u.htm,1_veda/2_bra/satapath/sb_02_u.htm,151178,128309,117271,33907,11809,22869,11038,0,0
data/raw/gretil/1_veda/2_bra/satapath/sb_03_u.htm,1_veda/2_bra/satapath/sb_03_u.htm,223739,191427,174142,49597,17698,32312,17285,0,0
data/raw/gretil/1_veda/2_bra/satapath/sb_04_u.htm,1_veda/2_bra/satapath/sb_04_u.htm,174487,149039,136141,38346,13774,25448,12898,0,0
data/raw/gretil/1_veda/2_bra/satapath/sb_05_u.htm,1_veda/2_bra/satapath/sb_05_u.htm,132112,112298,102938,29174,10391,19814,9360,0,0
data/raw/gretil/1_veda/2_bra/satapath/sb_06_u.htm,1_veda/2_bra/satapath/sb_06_u.htm,154349,132177,121622,32727,11527,22172,10555,0,0
data/raw/gretil/1_veda/2_bra/satapath/sb_07_u.htm,1_veda/2_bra/satapath/sb_07_u.htm,120555,102648,94656,25899,9208,17907,7992,0,0
data/raw/gretil/1_veda/2_bra/satapath/sb_08_u.htm,1_veda/2_bra/satapath/sb_08_u.htm,135394,116010,107343,28051,10110,19384,8667,0,0
data/raw/gretil/1_veda/2_bra/satapath/sb_09_u.htm,1_veda/2_bra/satapath/sb_09_u.htm,116404,98663,90609,25795,8893,17741,8054,0,0
data/raw/gretil/1_veda/2_bra/satapath/sb_10_u.htm,1_veda/2_bra/satapath/sb_10_u.htm,110530,93653,85598,24932,7963,16877,8055,0,0
data/raw/gretil/1_veda/2_bra/satapath/sb_11_u.htm,1_veda/2_bra/satapath/sb_11_u.htm,119650,101006,91523,28127,8885,18644,9483,0,0
