file	line_no	form_before	matched_sequence	raw_form	intermediate_form	status	action	form_after
1_veda/2_bra/gopbra_u.txt	1407	ramantae	ae	ramantae	ramantae	SOURCE_PRESENT	none	ramantae
1_veda/2_bra/gopbra_u.txt	3135	śrutaṛṣiḥ	aṛ	śrutaṛṣiḥ	śrutaṛṣiḥ	SOURCE_PRESENT	none	śrutaṛṣiḥ
1_veda/2_bra/gopbra_u.txt	7849	bharadvājāa	āa	bharadvājāa	bharadvājāa	SOURCE_PRESENT	none	bharadvājāa
1_veda/2_bra/gopbra_u.txt	8253	prajigāaya	āa	prajigāaya	prajigāaya	SOURCE_PRESENT	none	prajigāaya
1_veda/2_bra/kausibru.txt	557	vāacam	āa	vāacam	vāacam	SOURCE_PRESENT	none	vāacam
1_veda/2_bra/kausibru.txt	2123	antāi	āi	antāi	antāi	SOURCE_PRESENT	none	antāi
1_veda/2_bra/kausibru.txt	4029	prathāam	āa	prathāam	prathāam	SOURCE_PRESENT	none	prathāam
1_veda/2_bra/kausibru.txt	4243	anvāaha	āa	anvāaha	anvāaha	SOURCE_PRESENT	none	anvāaha
1_veda/2_bra/kausibru.txt	4299	keo	eo	keo	keo	SOURCE_PRESENT	none	keo
1_veda/2_bra/kausibru.txt	4983	ukthāi	āi	ukthāi	ukthāi	SOURCE_PRESENT	none	ukthāi
1_veda/2_bra/kausibru.txt	5215	āupāṃśv	āu	āupāṃśv	āupāṃśv	SOURCE_PRESENT	none	āupāṃśv
1_veda/2_bra/kausibru.txt	5279	tīvṛī	ṛī	tīvṛī	tīvṛī	SOURCE_PRESENT	none	tīvṛī
1_veda/2_bra/kausibru.txt	6323	agnīiṣomau	īi	agnīiṣomau	agnīiṣomau	SOURCE_PRESENT	none	agnīiṣomau
1_veda/2_bra/kausibru.txt	8537	jyotiu	iu	jyotiu	jyotiu	SOURCE_PRESENT	none	jyotiu
1_veda/2_bra/kausibru.txt	8931	gavuaṃta	ua	gavuaṃta	gavuaṃta	SOURCE_PRESENT	none	gavuaṃta
1_veda/2_bra/kausibru.txt	9073	devatyāi	āi	devatyāi	devatyāi	SOURCE_PRESENT	none	devatyāi
1_veda/2_bra/kausibru.txt	9371	devatātāa	āa	devatātāa	devatātāa	SOURCE_PRESENT	none	devatātāa
1_veda/2_bra/kausibru.txt	11125	tāi	āi	tāi	tāi	SOURCE_PRESENT	none	tāi
1_veda/2_bra/kausibru.txt	12387	rājñīi	īi	rājñīi	rājñīi	SOURCE_PRESENT	none	rājñīi
1_veda/2_bra/kausibru.txt	12519	saptaṛṣibhyo	aṛ	saptaṛṣibhyo	saptaṛṣibhyo	SOURCE_PRESENT	none	saptaṛṣibhyo
1_veda/2_bra/kausibru.txt	12529	pāañca	āa	pāañca	pāañca	SOURCE_PRESENT	none	pāañca
1_veda/2_bra/kausibru.txt	12551	sarveām	eā	sarveām	sarveām	SOURCE_PRESENT	none	sarveām
1_veda/2_bra/kausibru.txt	13455	maitrāvaruṇāaya	āa	maitrāvaruṇāaya	maitrāvaruṇāaya	SOURCE_PRESENT	none	maitrāvaruṇāaya
1_veda/2_bra/kausibru.txt	13559	pratyuācacakṣire	uā	pratyuācacakṣire	pratyuācacakṣire	SOURCE_PRESENT	none	pratyuācacakṣire
1_veda/2_bra/kausibru.txt	13631	iem	ie	iem	iem	SOURCE_PRESENT	none	iem
1_veda/2_bra/kausibru.txt	13679	dviparyāsua	ua	dviparyāsua	dviparyāsua	SOURCE_PRESENT	none	dviparyāsua
1_veda/2_bra/kausibru.txt	13809	pratiṣṭhityaī	aī	pratiṣṭhityaī	pratiṣṭhityaī	SOURCE_PRESENT	none	pratiṣṭhityaī
1_veda/2_bra/pncvbr1u.txt	143	enasaenasāvayajanam	ae			UNRESOLVED	none	enasaenasāvayajanam
1_veda/2_bra/pncvbr1u.txt	637	devaokam	ao	devaokam	devaokam	SOURCE_PRESENT	none	devaokam
1_veda/2_bra/pncvbr1u.txt	889	āotvā	āo	āotvā	āotvā	SOURCE_PRESENT	none	āotvā
1_veda/2_bra/pncvbr1u.txt	2373	tejaseindriyeṇa	ei	tejaseindriyeṇa	tejaseindriyeṇa	SOURCE_PRESENT	none	tejaseindriyeṇa
1_veda/2_bra/pncvbr1u.txt	2451	pūṛnamāsyo	ūṛ	pūṛnamāsyo	pūṛnamāsyo	SOURCE_PRESENT	none	pūṛnamāsyo
1_veda/2_bra/pncvbr1u.txt	5353	puraetāro	ae	puraetāro	puraetāro	SOURCE_PRESENT	none	puraetāro
1_veda/2_bra/pncvbr1u.txt	6833	goāyuṣī	oā		goāyuṣī	UNRESOLVED	none	goāyuṣī
1_veda/2_bra/pncvbr1u.txt	7053	goāyuṣī	oā		goāyuṣī	UNRESOLVED	none	goāyuṣī
1_veda/2_bra/pncvbr1u.txt	7059	goāyuṣī	oā		goāyuṣī	UNRESOLVED	none	goāyuṣī
1_veda/2_bra/pncvbr2u.txt	143	enasaenasāvayajanam	ae			UNRESOLVED	none	enasaenasāvayajanam
1_veda/2_bra/pncvbr2u.txt	637	devaokam	ao	devaokam	devaokam	SOURCE_PRESENT	none	devaokam
1_veda/2_bra/pncvbr2u.txt	889	āotvā	āo	āotvā	āotvā	SOURCE_PRESENT	none	āotvā
1_veda/2_bra/pncvbr2u.txt	2373	tejaseindriyeṇa	ei	tejaseindriyeṇa	tejaseindriyeṇa	SOURCE_PRESENT	none	tejaseindriyeṇa
1_veda/2_bra/pncvbr2u.txt	5353	puraetāro	ae	puraetāro	puraetāro	SOURCE_PRESENT	none	puraetāro
1_veda/2_bra/pncvbr2u.txt	6833	goāyuṣī	oā		goāyuṣī	UNRESOLVED	none	goāyuṣī
1_veda/2_bra/pncvbr2u.txt	7053	goāyuṣī	oā		goāyuṣī	UNRESOLVED	none	goāyuṣī
1_veda/2_bra/pncvbr2u.txt	7059	goāyuṣī	oā		goāyuṣī	UNRESOLVED	none	goāyuṣī
1_veda/2_bra/satapath/sb_01_u.txt	171	gṛāmu	ṛā	gṛāmu	gṛāmu	SOURCE_PRESENT	none	gṛāmu
1_veda/2_bra/satapath/sb_01_u.txt	183	havirgrahiṣyaṃstasmāevaitānnihnute	āe	havirgrahiṣyaṃstasmāevaitānnihnute	havirgrahiṣyaṃstasmāevaitānnihnute	SOURCE_PRESENT	none	havirgrahiṣyaṃstasmāevaitānnihnute
1_veda/2_bra/satapath/sb_01_u.txt	525	tasmādvāāskauti	āā	tasmādvāāskauti	tasmādvāāskauti	SOURCE_PRESENT	none	tasmādvāāskauti
1_veda/2_bra/satapath/sb_01_u.txt	733	śayātāityu	āi	śayātāityu	śayātāityu	SOURCE_PRESENT	none	śayātāityu
1_veda/2_bra/satapath/sb_01_u.txt	935	vāasyai	āa	vāasyai	vāasyai	SOURCE_PRESENT	none	vāasyai
1_veda/2_bra/satapath/sb_01_u.txt	1233	vāetadagnau	āe	vāetadagnau	vāetadagnau	SOURCE_PRESENT	none	vāetadagnau
1_veda/2_bra/satapath/sb_01_u.txt	1497	vāahametadutsākṣye	āa	vāahametadutsākṣye	vāahametadutsākṣye	SOURCE_PRESENT	none	vāahametadutsākṣye
1_veda/2_bra/satapath/sb_01_u.txt	1725	kuryādyadasaṃtatāanubrūyāttasmādvai	āa	kuryādyadasaṃtatāanubrūyāttasmādvai	kuryādyadasaṃtatāanubrūyāttasmādvai	SOURCE_PRESENT	none	kuryādyadasaṃtatāanubrūyāttasmādvai
1_veda/2_bra/satapath/sb_01_u.txt	2101	prāṇaetamevaitayā	ae	prāṇaetamevaitayā	prāṇaetamevaitayā	SOURCE_PRESENT	none	prāṇaetamevaitayā
1_veda/2_bra/satapath/sb_01_u.txt	2657	imāoṣadhayo	āo	imāoṣadhayo	imāoṣadhayo	SOURCE_PRESENT	none	imāoṣadhayo
1_veda/2_bra/satapath/sb_01_u.txt	2997	vāasthāditi	āa	vāasthāditi	vāasthāditi	SOURCE_PRESENT	none	vāasthāditi
1_veda/2_bra/satapath/sb_01_u.txt	5101	tūṣṇīmupatiṣṭhateatha	ea	tūṣṇīmupatiṣṭhateatha	tūṣṇīmupatiṣṭhateatha	SOURCE_PRESENT	none	tūṣṇīmupatiṣṭhateatha
1_veda/2_bra/satapath/sb_02_u.txt	575	vāetadyadagnaye	āe	vāetadyadagnaye	vāetadyadagnaye	SOURCE_PRESENT	none	vāetadyadagnaye
1_veda/2_bra/satapath/sb_02_u.txt	883	payāahutiṃ	āa	payāahutiṃ	payāahutiṃ	SOURCE_PRESENT	none	payāahutiṃ
1_veda/2_bra/satapath/sb_02_u.txt	889	payāahutiṃ	āa	payāahutiṃ	payāahutiṃ	SOURCE_PRESENT	none	payāahutiṃ
1_veda/2_bra/satapath/sb_02_u.txt	2081	yaevaṃ	ae		yaevaṃ	UNRESOLVED	none	yaevaṃ
1_veda/2_bra/satapath/sb_03_u.txt	187	vāasyaiṣāgre	āa	vāasyaiṣāgre	vāasyaiṣāgre	SOURCE_PRESENT	none	vāasyaiṣāgre
