issue_type	matched_form	count	file_count
adjacent_vowels	ataeva	410	9
adjacent_vowels	edition	93	2
adjacent_vowels	iḷā	82	4
adjacent_vowels	ataevoktaṃ	49	6
adjacent_vowels	iḷām	46	2
adjacent_vowels	srotaāpattiphalaṃ	46	8
adjacent_vowels	īḷe	42	4
adjacent_vowels	ūab	40	1
adjacent_vowels	puroḷāśam	36	3
adjacent_vowels	ṣaḷ	25	2
adjacent_vowels	puroḷāśa	22	2
adjacent_vowels	properties	21	1
adjacent_vowels	ṣoḷaśa	20	2
adjacent_vowels	aaaaaaaaaaaaaaaaa	16	1
adjacent_vowels	ayāḷ	16	2
adjacent_vowels	nāḷāyanī	16	1
adjacent_vowels	guṇaāptī	15	2
adjacent_vowels	puroḷāśasya	14	2
adjacent_vowels	ṣaḷaha	14	1
adjacent_vowels	ataevāha	13	3
adjacent_vowels	samūḷhe	13	1
adjacent_vowels	aevam	11	1
adjacent_vowels	ūav	11	1
adjacent_vowels	mṛḷa	10	2
adjacent_vowels	puroḷāśān	10	1
adjacent_vowels	udūḷham	10	1
adjacent_vowels	ṣaḷahaḥ	10	2
adjacent_vowels	ṣoḷaśī	10	2
adjacent_vowels	aiueo	9	1
adjacent_vowels	vṛttaantar	9	1
adjacent_vowels	ataevoktam	8	3
adjacent_vowels	athaapi	8	1
adjacent_vowels	athaapy	8	1
adjacent_vowels	bhujamānaānayanāya	8	1
adjacent_vowels	caasya	8	1
adjacent_vowels	iḷa	8	2
adjacent_vowels	iḷam	8	1
adjacent_vowels	iḷe	8	1
adjacent_vowels	iḷo	8	2
adjacent_vowels	iḷāyāḥ	8	2
adjacent_vowels	maṅgaḷaṃ	8	1
adjacent_vowels	mātāpitarāu	8	2
adjacent_vowels	naasyaasmiṃl	8	1
adjacent_vowels	puroḷāśeṣu	8	1
adjacent_vowels	saṃrāḷ	8	2
adjacent_vowels	vargaantaram	8	2
adjacent_vowels	īḷate	8	3
adjacent_vowels	aevaṃ	7	1
adjacent_vowels	kalāantaram	7	1
adjacent_vowels	phaālgune	7	1
adjacent_vowels	sarvae	7	4
adjacent_vowels	srotaāpattiphalam	7	2
adjacent_vowels	triasre	7	2
adjacent_vowels	yathāuktakaraṇena	7	1
adjacent_vowels	aadya	6	1
adjacent_vowels	aatha	6	2
adjacent_vowels	agraaikyam	6	2
adjacent_vowels	book	6	1
adjacent_vowels	editions	6	1
adjacent_vowels	goāyuṣī	6	2
adjacent_vowels	hou	6	1
adjacent_vowels	iii	6	2
adjacent_vowels	itiādinā	6	1
adjacent_vowels	iḷāyām	6	2
adjacent_vowels	iḷāyās	6	2
adjacent_vowels	kathayatiasti	6	2
adjacent_vowels	krīḷam	6	2
adjacent_vowels	krīḷataḥ	6	2
adjacent_vowels	puroḷāśaiḥ	6	1
adjacent_vowels	puroḷāśaḥ	6	2
adjacent_vowels	puroḷāśena	6	2
adjacent_vowels	puroḷāśo	6	2
adjacent_vowels	rūpaātmabhāvas	6	1
adjacent_vowels	tae	6	3
adjacent_vowels	īḷa	6	1
adjacent_vowels	īḷito	6	1
