file	line_no	token	context
1_veda/2_bra/gopbra_u.txt	1943	acīkḷpad	namaḥ śaṃyumātharvaṇāya yo mā yajñiyam acīkḷpad iti
1_veda/2_bra/gopbra_u.txt	2457	cīkḷpad	devayajanaṃ me cīkḷpad brahmāsādaṃ me 'sīsṛpad brahmajapān me 'japīt purastāddh...
1_veda/2_bra/gopbra_u.txt	3403	kḷptim	eteṣāṃ vai navānāṃ kḷptim anv itare kalpante
1_veda/2_bra/gopbra_u.txt	4935	kḷptam	ādyaṃ vaṣaṭkāraḥ pradānāntam etam agniṣṭome parvaśaḥ sādhu kḷptam | saubheṣajaṃ chanda īpsan yad agnau catuḥśataṃ bahudhā...
1_veda/2_bra/gopbra_u.txt	4937	kḷptas	...aviṃśo gāyatrastomamita eka eva | mādhyaṃdinaḥ saptadaśena kḷptas trayastriṃśena savanaṃ tṛtīyam ||
1_veda/2_bra/gopbra_u.txt	5557	pratikḷptam	yad akṛtvāgrayaṇaṃ navasyāśnīyād devānāṃ bhāgaṃ pratikḷptam adyāt
1_veda/2_bra/gopbra_u.txt	7225	'cīkḷpatām	gāyatrīm evaitat purastāt prātaḥsavane 'cīkḷpatām
1_veda/2_bra/gopbra_u.txt	7235	'cīkḷpatām	gāyatrīm evaitad ubhayataḥ prātaḥsavane 'cīkḷpatām
1_veda/2_bra/gopbra_u.txt	7243	'cīkḷpatām	...arā vai triṣṭup triṣṭubham evaitat purastān mādhyaṃdine 'cīkḷpatām
1_veda/2_bra/gopbra_u.txt	7251	'cīkḷpatām	...arā vai triṣṭup triṣṭubham evaitad ubhayato mādhyaṃdine 'cīkḷpatām
1_veda/2_bra/gopbra_u.txt	7261	'cīkḷpatām	jagatīm evaitat purastāt tṛtīyasavane 'cīkḷpatām
1_veda/2_bra/gopbra_u.txt	7271	'cīkḷpatām	jagatīm evaitad ubhayatas tṛtīyasavane 'cīkḷpatām iti
1_veda/2_bra/gopbra_u.txt	10147	kḷptīḥ	atha diśāṃ kḷptīḥ pūrvaṃ śastvā yaḥ sabheyo vidathyaḥ iti janakalpā uttar...
1_veda/2_bra/gopbra_u.txt	10151	kḷptīḥ	tad yad diśāṃ kḷptīḥ pūrvaṃ śastvā yaḥ sabheyo vidathyaḥ iti janakalpā uttar...
1_veda/2_bra/gopbra_u.txt	10483	kḷptāḥ	śāntāḥ prajāḥ kḷptāḥ sahante yatraivaṃvidaṃ śaṃsati yatraivaṃvidaṃ śaṃsatīti...
1_veda/2_bra/kausibru.txt	569	samacīkḷpam	na tan manasā āha iti samacīkḷpam iti |
1_veda/2_bra/pncvbr1u.txt	585	anavakḷptāni	tad āhur anavakḷptāni vā etāni cchandāṃsi madhyandine bṛhatyā caiva triṣṭubh...
1_veda/2_bra/pncvbr1u.txt	1621	kḷptābhyām	... vai loko bṛhad ayaṃ rathantaram etāni manasānvīkṣyodgāyet kḷptābhyām evābhyām udgāyati
